keyword,capability_weights
website,"coding:0.4,instruction_following:0.2,creative_writing:0.2,data_analysis:0.2"
app,"coding:0.5,instruction_following:0.3,agentic_tool_use:0.2"
mobile app,"coding:0.5,instruction_following:0.3,agentic_tool_use:0.2"
ecommerce,"coding:0.3,instruction_following:0.2,data_analysis:0.3,creative_writing:0.2"
shop,"coding:0.3,instruction_following:0.2,data_analysis:0.3,creative_writing:0.2"
bank,"reasoning:0.3,factual_accuracy:0.3,instruction_following:0.2,data_analysis:0.2"
finance,"reasoning:0.3,math:0.3,data_analysis:0.3,factual_accuracy:0.1"
trading,"math:0.4,reasoning:0.3,data_analysis:0.2,factual_accuracy:0.1"
hospital,"factual_accuracy:0.4,reasoning:0.3,question_answering:0.2,summarization:0.1"
medical,"factual_accuracy:0.4,reasoning:0.3,question_answering:0.2,summarization:0.1"
doctor,"factual_accuracy:0.4,reasoning:0.3,question_answering:0.2,summarization:0.1"
health,"factual_accuracy:0.4,reasoning:0.3,question_answering:0.2,summarization:0.1"
lawyer,"reasoning:0.3,factual_accuracy:0.3,language:0.2,summarization:0.2"
legal,"reasoning:0.3,factual_accuracy:0.3,language:0.2,summarization:0.2"
contract,"reasoning:0.3,factual_accuracy:0.3,language:0.2,summarization:0.2"
blog,"creative_writing:0.4,language:0.3,summarization:0.2,instruction_following:0.1"
article,"creative_writing:0.4,language:0.3,summarization:0.2,instruction_following:0.1"
write,"creative_writing:0.5,language:0.3,instruction_following:0.2"
story,"creative_writing:0.6,language:0.3,roleplay:0.1"
poem,"creative_writing:0.7,language:0.3"
novel,"creative_writing:0.55,language:0.30,memory_recall:0.15"
script,"creative_writing:0.5,language:0.3,instruction_following:0.2"
game,"coding:0.35,creative_writing:0.30,reasoning:0.20,instruction_following:0.15"
video,"multimodal_video:0.5,creative_writing:0.3,instruction_following:0.2"
image,"multimodal_image:0.6,creative_writing:0.2,instruction_following:0.2"
photo,"multimodal_image:0.6,creative_writing:0.2,instruction_following:0.2"
audio,"multimodal_audio:0.6,language:0.2,instruction_following:0.2"
music,"multimodal_audio:0.50,creative_writing:0.30,instruction_following:0.20"
translate,"translation:0.7,language:0.2,factual_accuracy:0.1"
language,"translation:0.4,language:0.4,multilingual:0.2"
multilingual,"multilingual:0.5,translation:0.3,language:0.2"
teach,"instruction_following:0.3,language:0.3,question_answering:0.3,factual_accuracy:0.1"
education,"instruction_following:0.3,language:0.3,question_answering:0.3,factual_accuracy:0.1"
tutor,"instruction_following:0.3,language:0.3,question_answering:0.3,factual_accuracy:0.1"
quiz,"question_answering:0.45,factual_accuracy:0.35,instruction_following:0.20"
chatbot,"chat:0.4,instruction_following:0.3,language:0.2,memory_recall:0.1"
customer,"chat:0.4,instruction_following:0.3,language:0.2,memory_recall:0.1"
support,"chat:0.3,instruction_following:0.3,question_answering:0.3,language:0.1"
research,"reasoning:0.3,summarization:0.3,factual_accuracy:0.3,question_answering:0.1"
summarize,"summarization:0.6,reasoning:0.2,language:0.2"
analyze,"reasoning:0.3,data_analysis:0.4,math:0.2,summarization:0.1"
data,"data_analysis:0.4,math:0.3,reasoning:0.2,coding:0.1"
sql,"coding:0.4,data_analysis:0.4,reasoning:0.2"
python,"coding:0.6,reasoning:0.2,instruction_following:0.2"
code,"coding:0.6,reasoning:0.2,instruction_following:0.2"
debug,"coding:0.5,reasoning:0.3,instruction_following:0.2"
cybersecurity,"coding:0.3,reasoning:0.4,factual_accuracy:0.2,instruction_following:0.1"
hack,"coding:0.4,reasoning:0.4,factual_accuracy:0.2"
security,"coding:0.3,reasoning:0.4,factual_accuracy:0.2,instruction_following:0.1"
agent,"agentic_tool_use:0.5,reasoning:0.3,coding:0.2"
automation,"agentic_tool_use:0.4,coding:0.3,reasoning:0.3"
robot,"coding:0.4,reasoning:0.3,agentic_tool_use:0.3"
hr,"language:0.3,summarization:0.3,instruction_following:0.3,factual_accuracy:0.1"
resume,"language:0.3,creative_writing:0.3,instruction_following:0.3,summarization:0.1"
marketing,"creative_writing:0.4,language:0.3,instruction_following:0.2,data_analysis:0.1"
seo,"creative_writing:0.3,language:0.3,instruction_following:0.3,data_analysis:0.1"
social media,"creative_writing:0.4,language:0.3,instruction_following:0.3"
agriculture,"factual_accuracy:0.40,question_answering:0.30,reasoning:0.20,language:0.10"
farming,"factual_accuracy:0.40,question_answering:0.30,reasoning:0.20,language:0.10"
logistics,"reasoning:0.3,data_analysis:0.3,instruction_following:0.3,math:0.1"
supply chain,"reasoning:0.3,data_analysis:0.3,instruction_following:0.3,math:0.1"
real estate,"reasoning:0.3,data_analysis:0.3,language:0.2,factual_accuracy:0.2"
travel,"language:0.3,creative_writing:0.2,question_answering:0.3,multilingual:0.2"
hotel,"language:0.3,creative_writing:0.2,question_answering:0.3,multilingual:0.2"
restaurant,"language:0.3,creative_writing:0.3,question_answering:0.2,instruction_following:0.2"
news,"summarization:0.4,factual_accuracy:0.4,language:0.2"
journalism,"language:0.4,creative_writing:0.3,factual_accuracy:0.3"
podcast,"creative_writing:0.35,summarization:0.30,multimodal_audio:0.35"
mental health,"chat:0.40,language:0.30,instruction_following:0.20,factual_accuracy:0.10"
therapy,"chat:0.4,language:0.3,instruction_following:0.2,factual_accuracy:0.1"
inventory,"data_analysis:0.4,reasoning:0.3,instruction_following:0.3"
dashboard,"coding:0.4,data_analysis:0.4,instruction_following:0.2"
report,"summarization:0.40,data_analysis:0.30,language:0.30"
speech,"multimodal_audio:0.40,language:0.35,creative_writing:0.25"
interview,"language:0.35,chat:0.40,question_answering:0.25"
science,"reasoning:0.4,factual_accuracy:0.4,math:0.2"
physics,"math:0.5,reasoning:0.4,factual_accuracy:0.1"
chemistry,"reasoning:0.4,factual_accuracy:0.4,math:0.2"
biology,"factual_accuracy:0.5,reasoning:0.3,question_answering:0.2"
satellite,"coding:0.3,math:0.4,reasoning:0.3"
blockchain,"coding:0.40,reasoning:0.30,factual_accuracy:0.30"
crypto,"coding:0.30,math:0.30,reasoning:0.30,factual_accuracy:0.10"
nft,"coding:0.40,creative_writing:0.30,reasoning:0.30"
climate,"reasoning:0.35,factual_accuracy:0.35,data_analysis:0.30"
environment,"factual_accuracy:0.40,reasoning:0.30,summarization:0.30"
fashion,"creative_writing:0.4,multimodal_image:0.3,language:0.3"
design,"creative_writing:0.3,multimodal_image:0.4,instruction_following:0.3"
3d,"coding:0.3,multimodal_image:0.4,creative_writing:0.3"
animation,"creative_writing:0.35,multimodal_video:0.40,instruction_following:0.25"
sports,"factual_accuracy:0.4,language:0.3,question_answering:0.3"
food,"creative_writing:0.3,language:0.3,question_answering:0.3,factual_accuracy:0.1"
recipe,"creative_writing:0.3,language:0.3,instruction_following:0.4"
fitness,"instruction_following:0.4,factual_accuracy:0.3,language:0.3"
language model,"reasoning:0.4,coding:0.3,factual_accuracy:0.3"
llm,"reasoning:0.4,coding:0.3,factual_accuracy:0.3"
machine learning,"coding:0.40,math:0.30,reasoning:0.30"
deep learning,"coding:0.40,math:0.30,reasoning:0.30"
nlp,"language:0.4,coding:0.3,reasoning:0.3"
computer vision,"multimodal_image:0.45,coding:0.30,reasoning:0.25"
school,"instruction_following:0.3,language:0.3,question_answering:0.3,factual_accuracy:0.1"
university,"reasoning:0.3,factual_accuracy:0.3,language:0.2,summarization:0.2"
exam,"question_answering:0.40,factual_accuracy:0.40,reasoning:0.20"
homework,"question_answering:0.40,reasoning:0.30,instruction_following:0.30"
essay,"creative_writing:0.4,language:0.4,instruction_following:0.2"
presentation,"creative_writing:0.35,summarization:0.30,language:0.35"
meeting,"summarization:0.4,language:0.3,instruction_following:0.3"
email,"language:0.4,creative_writing:0.3,instruction_following:0.3"
scheduling,"reasoning:0.3,instruction_following:0.4,agentic_tool_use:0.3"
crm,"data_analysis:0.35,instruction_following:0.30,language:0.25,agentic_tool_use:0.10"
erp,"coding:0.35,data_analysis:0.30,instruction_following:0.25,reasoning:0.10"
manufacturing,"reasoning:0.3,data_analysis:0.3,instruction_following:0.3,coding:0.1"
insurance,"reasoning:0.3,factual_accuracy:0.3,data_analysis:0.3,language:0.1"
